symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss,price_track_path
BTCUSDT,4h,365 days ago UTC,16,hybrid_transformer,2046,time,0.2,,direction,0.0,0.5354523227383863,0.505338078291815,0.7357512953367875,0.5991561181434599,0.547591633083861,"[[77, 139], [51, 142]]",0.71,0,,0.0,,0.0,,,0.0023,,,,0.6957060040183232,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_hybrid_transformer_20251016_212716.csv
BTCUSDT,4h,365 days ago UTC,16,voting_soft,2061,time,0.2,,direction,0.0,0.4878640776699029,0.4701492537313433,0.6461538461538462,0.5442764578833693,0.4989719957461893,"[[75, 142], [69, 126]]",0.71,9,0.5555555555555556,6.5453974900624924e-06,0.0002996337517673052,0.0026312795725706994,0.5293313514068446,0.11086954793731635,0.0023,,,,0.7261984570096504,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_voting_soft_20251016_212722.csv
BTCUSDT,4h,365 days ago UTC,16,stacking,2061,time,0.2,,direction,0.0,0.5,0.4773662551440329,0.5948717948717949,0.5296803652968036,0.5050691244239631,"[[90, 127], [79, 116]]",0.55,7,0.5714285714285714,1.4631714870715877e-05,0.0008611809323907059,0.005927480996935186,0.9006562110223189,0.30524545351432814,0.0023,,,,0.694654302522859,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_stacking_20251016_212738.csv
BTCUSDT,4h,365 days ago UTC,16,metalabel,2061,time,0.2,,direction,0.0,0.4878640776699029,0.4642857142857143,0.5333333333333333,0.4964200477326969,0.5007444168734492,"[[97, 120], [91, 104]]",0.895,14,0.35714285714285715,-0.00012637580494116257,-0.003719059402554212,-0.05110789496257473,-4.313884989259319,-0.6597636461530465,0.0023,,,,0.9554667830453426,predictions/PRICE_365_days_ago_UTC_BTCUSDT_4h_metalabel_20251016_212744.csv
BTCUSDT,8h,365 days ago UTC,16,logreg,1030,time,0.2,,direction,0.0,0.5194174757281553,0.5194174757281553,1.0,0.6837060702875399,0.48031719059756434,"[[0, 99], [0, 107]]",0.515,0,,0.0,,0.0,,,0.0023,,,,0.6924841795797285,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_logreg_20251016_212750.csv
BTCUSDT,8h,365 days ago UTC,16,sgdlog,1030,time,0.2,,direction,0.0,0.5097087378640777,0.5267857142857143,0.5514018691588785,0.5388127853881278,0.48041159256112526,"[[46, 53], [48, 59]]",0.53,0,,0.0,,0.0,,,0.0023,,,,0.6949791645890669,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_sgdlog_20251016_212755.csv
BTCUSDT,8h,365 days ago UTC,16,rf,1030,time,0.2,,direction,0.0,0.5048543689320388,0.5373134328358209,0.3364485981308411,0.41379310344827586,0.4974511469838573,"[[68, 31], [71, 36]]",0.625,9,0.3333333333333333,8.50844533286615e-06,0.00019474885984115852,0.0016198479670794796,0.24567748227423206,0.08942330045266134,0.0023,,,,0.7217535153340748,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_rf_20251016_212800.csv
BTCUSDT,8h,365 days ago UTC,16,hgb,1030,time,0.2,,direction,0.0,0.47572815533980584,0.4931506849315068,0.3364485981308411,0.4,0.5257245350703293,"[[62, 37], [71, 36]]",0.815,30,0.5,6.97655881714778e-05,0.0004790570387774811,0.013125933670618872,0.6412454174834435,0.07321131735109829,0.0023,,,,1.010969948407753,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_hgb_20251016_212806.csv
BTCUSDT,8h,365 days ago UTC,16,linsvc,1030,time,0.2,,direction,0.0,0.5097087378640777,0.5267857142857143,0.5514018691588785,0.5388127853881278,0.47805154347210416,"[[46, 53], [48, 59]]",0.53,0,,0.0,,0.0,,,0.0023,,,,0.6949791331830466,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_linsvc_20251016_212817.csv
BTCUSDT,8h,365 days ago UTC,16,bilstm,1015,time,0.2,,direction,0.0,0.3891625615763547,0.4188034188034188,0.4666666666666667,0.44144144144144143,0.3998056365403304,"[[30, 68], [56, 49]]",0.68,0,,0.0,,0.0,,,0.0023,,,,0.7204517227295233,predictions/PRICE_365_days_ago_UTC_BTCUSDT_8h_bilstm_20251016_212827.csv
